train_loss,train_f1,val_loss,val_f1,val_top5_acc,learning_rates,epoch
2.781540748508575,0.03383846330125822,2.7066051959991455,0.030797101449275364,0.6049382716049383,0.001,1
2.473533315287883,0.10731221713778516,2.541568976861459,0.09908854098237167,0.6049382716049383,0.001,2
2.2856791870332858,0.1873423977458187,2.435889341213085,0.13415892672858618,0.654320987654321,0.001,3
2.135516694914747,0.2944726022549096,2.3849083935772932,0.16881993439086865,0.6419753086419753,0.001,4
2.004545996972613,0.3556553340505945,2.337477563339987,0.1904259139553257,0.6172839506172839,0.001,5
1.8920958092692883,0.36191780192839024,2.3096876173843572,0.16915065538537952,0.6666666666666666,0.0001,6
1.6634445666424378,0.4965497490741371,2.302193208977028,0.2170528817587641,0.6790123456790124,0.0001,7
1.457745057533992,0.5632683538175454,2.2798231222011425,0.22320280338856188,0.654320987654321,0.0001,8
1.3145535645131088,0.666031939503039,2.275115501733474,0.225462281510109,0.7037037037037037,0.0001,9
1.147886542465156,0.7472325161801996,2.2688491388603493,0.2151417688003054,0.6790123456790124,0.0001,10
